編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLTJRHGGFGE78DA,9,31.67,本共有部分之項目有防空避難室兼停車空間、門廳、門廊、管理委員會使用空間、車道、頂蓋型沿街步道式開放空間、頂蓋型廣場式開放空間、走廊、垃圾暫存區、外廊、水箱、機械房、樓梯間等１３項。,鋼筋混凝土,101年9月1日,015,
RPQOMLRJRHGGFGE78DA,8,97.21,集合住宅,鋼筋混凝土,102年9月1日,015,六層 陽台 雨遮
RPQOMLRJRHGGFGE78DA,8,68.75,本共有部分之項目有停車空間，防空避難室兼停車空間，公共服務空間，門廳，門廊，管理委員使用空間，頂蓋型開放空間，樓梯間，機械室，水箱等１０項。,鋼筋混凝土,102年9月1日,015,
RPPPMLQJNHGGFIE48DA,,191.36,住宅,鋼筋混凝土,110年3月4日,004,一層 二層 三層 四層 陽台
RPRPMLTJQHGGFIE66DA,26,56.63,住家用,鋼筋混凝土造,84年9月15日,016,十四層 陽台
RPRPMLTJQHGGFIE66DA,26,8.62,休憩室．電梯間．樓梯間．機械室．水箱,鋼筋混凝土造,84年9月15日,016,
RPRPMLTJQHGGFIE66DA,26,8.88,見使用執照,鋼筋混凝土造,84年9月15日,016,
RPTOMLKLPHGGFIE58DA,,171.16,住宅,鋼筋混凝土,110年3月4日,003,一層 二層 三層 陽台 見其他登記事項
RPWOMLMJRHGGFIE09DA,24,104.94,住家用,鋼筋混凝土造,86年12月5日,008,三層 陽台 雨遮
RPWOMLMJRHGGFIE09DA,24,43.35,防空避難室兼停車空間、樓梯間、門廳、車道,鋼筋混凝土造,86年12月5日,008,
RPTOMLQJRHGGFIE56DA,2,174.70,住宅,鋼筋混凝土,108年4月24日,003,一層 二層 三層 陽台 雨遮 見其他登記事項
RPTOMLSJRHGGFIE76DA,1,371.82,住宅,鋼筋混凝土造,109年7月30日,004,一層 二層 三層 四層 陽台 見其他登記事項
RPTNMLNJRHGGFIE78DA,,172.34,住宅,鋼筋混凝土,110年5月20日,003,一層 二層 三層 陽台 見其他登記事項
RPQNMLLKRHGGFJE48DA,30,167.20,住商用,鋼筋混凝土造,80年8月1日,003,一層 二層 三層 陽台 屋頂突出物 騎樓
RPRNMLTJRHGGFKE76DA,27,285.03,農舍,鋼鐵造（二層）．加強磚造（地面層）,83年8月5日,002,一層 二層
RPPNMLKKRHGGFKE38DA,28,119.20,住家用,加強磚造,82年10月1日,002,一層 二層 電梯樓梯間
RPSOMLMKQHGGFLE98DA,27,150.01,工業用,鋼造,83年2月5日,001,一層
RPSOMLMKQHGGFLE98DA,27,150.01,工業用,鋼造,83年2月5日,001,一層
